id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1,2008/2009,2008-08-17 00:00:00,492473,9987,9993,1,1
2,2008/2009,2008-08-16 00:00:00,492474,10000,9994,0,0
3,2008/2009,2008-08-16 00:00:00,492475,9984,8635,0,3
4,2008/2009,2008-08-17 00:00:00,492476,9991,9998,5,0
5,2008/2009,2008-08-16 00:00:00,492477,7947,9985,1,3
6,2008/2009,2008-09-24 00:00:00,492478,8203,8342,1,1
7,2008/2009,2008-08-16 00:00:00,492479,9999,8571,2,2
8,2008/2009,2008-08-16 00:00:00,492480,4049,9996,1,2
9,2008/2009,2008-08-16 00:00:00,492481,10001,9986,1,0
10,2008/2009,2008-11-01 00:00:00,492564,8342,8571,4,1
11,2008/2009,2008-10-31 00:00:00,492565,9985,9986,1,2
12,2008/2009,2008-11-02 00:00:00,492566,10000,9991,0,2
13,2008/2009,2008-11-01 00:00:00,492567,9994,9998,0,0
14,2008/2009,2008-11-01 00:00:00,492568,7947,10001,2,2
15,2008/2009,2008-11-01 00:00:00,492569,8203,9999,1,2
16,2008/2009,2008-11-01 00:00:00,492570,9996,9984,0,1
17,2008/2009,2008-11-01 00:00:00,492571,4049,9987,1,3
18,2008/2009,2008-11-02 00:00:00,492572,9993,8635,1,3
19,2008/2009,2008-11-08 00:00:00,492573,8635,9994,2,3
20,2008/2009,2008-11-08 00:00:00,492574,9998,9996,0,0
21,2008/2009,2008-11-09 00:00:00,492575,9986,8342,2,2
22,2008/2009,2008-11-07 00:00:00,492576,9984,10000,2,0
23,2008/2009,2008-11-08 00:00:00,492577,9991,7947,1,1
24,2008/2009,2008-11-08 00:00:00,492578,9999,4049,1,2
25,2008/2009,2008-11-08 00:00:00,492579,8571,8203,0,0
26,2008/2009,2008-11-08 00:00:00,492580,10001,9987,1,0
27,2008/2009,2008-11-09 00:00:00,492581,9993,9985,1,3
28,2008/2009,2008-11-16 00:00:00,492582,8342,8635,1,1
29,2008/2009,2008-11-15 00:00:00,492583,9987,9999,1,1
