id,team_api_id,team_long_name,team_short_name
1,9987,KRC Genk,GEN
2,9993,Beerschot AC,BAC
3,10000,SV Zulte-Waregem,ZUL
4,9994,Sporting Lokeren,LOK
5,9984,KSV Cercle Brugge,CEB
6,8635,RSC Anderlecht,AND
7,9991,KAA Gent,GEN
8,9998,RAEC Mons,MON
9,7947,FCV Dender EH,DEN
10,9985,Standard de Liège,STL
11,8203,KV Mechelen,MEC
12,8342,Club Brugge KV,CLB
13,9999,KSV Roeselare,ROS
14,8571,KV Kortrijk,KOR
15,4049,Tubize,TUB
16,9996,Royal Excel Mouscron,MOU
17,10001,KVC Westerlo,WES
18,9986,Sporting Charleroi,CHA
614,9997,Sint-Truidense VV,STT
1034,9989,Lierse SK,LIE
1042,6351,KAS Eupen,EUP
1513,1773,Oud-Heverlee Leuven,O-H
2004,8475,Waasland-Beveren,WAA
2476,8573,KV Oostende,OOS
2510,274581,Royal Excel Mouscron,MOP
3457,10260,Manchester United,MUN
3458,10261,Newcastle United,NEW
3459,9825,Arsenal,ARS
3460,8659,West Bromwich Albion,WBA
3461,8472,Sunderland,SUN
3462,8650,Liverpool,LIV
3463,8654,West Ham United,WHU
3464,8528,Wigan Athletic,WIG
3465,10252,Aston Villa,AVL
3466,8456,Manchester City,MCI
3467,8668,Everton,EVE
3468,8655,Blackburn Rovers,BLB
3469,8549,Middlesbrough,MID
3470,8586,Tottenham Hotspur,TOT
3471,8559,Bolton Wanderers,BOL
3472,10194,Stoke City,STK
3473,8667,Hull City,HUL
3474,9879,Fulham,FUL
3475,8455,Chelsea,CHE
3476,8462,Portsmouth,POR
4218,8658,Birmingham City,BIR
4225,8602,Wolverhampton Wanderers,WOL
4234,8191,Burnley,BUR
4996,8483,Blackpool,BLA
5744,10003,Swansea City,SWA
5747,10172,Queens Park Rangers,QPR
5756,9850,Norwich City,NOR
6504,8466,Southampton,SOU
6509,9798,Reading,REA
7261,9826,Crystal Palace,CRY
7276,8344,Cardiff City,CAR
8021,8197,Leicester City,LEI
8779,8678,Bournemouth,BOU
8784,9817,Watford,WAT
9537,8583,AJ Auxerre,AUX
9538,9830,FC Nantes,NAN
9539,9827,Girondins de Bordeaux,BOR
9540,7819,SM Caen,CAE
9541,9746,Le Havre AC,LEH
9542,9831,OGC Nice,NIC
9543,8682,Le Mans FC,LEM
9544,8689,FC Lorient,LOR
9545,9748,Olympique Lyonnais,LYO
9546,9941,Toulouse FC,TOU
9547,9829,AS Monaco,MON
9548,9847,Paris Saint-Germain,PSG
9549,8481,AS Nancy-Lorraine,NAN
9550,8639,LOSC Lille,LIL
9551,9851,Stade Rennais FC,REN
9552,8592,Olympique de Marseille,MAR
9553,9874,FC Sochaux-Montbéliard,SOC
9554,9855,Grenoble Foot 38,GRE
9555,9873,Valenciennes FC,VAL
9556,9853,AS Saint-Étienne,ETI
10300,8588,RC Lens,LEN
10309,10249,Montpellier Hérault SC,MON
10312,4170,US Boulogne Cote D'Opale,BOU
11074,108893,AC Arles-Avignon,ARL
11076,8521,Stade Brestois 29,BRE
11817,8576,AC Ajaccio,AJA
11822,4087,Évian Thonon Gaillard FC,ETG
11825,9836,Dijon FCO,DIJ
12587,9837,Stade de Reims,REI
12594,7794,SC Bastia,BAS
12595,10242,ES Troyes AC,TRO
13343,9747,En Avant de Guingamp,GUI
14106,8550,FC Metz,MET
14868,8121,Angers SCO,ANG
14876,6391,GFC Ajaccio,GAJ
15617,9823,FC Bayern Munich,BMU
15618,9790,Hamburger SV,HAM
15619,8178,Bayer 04 Leverkusen,LEV
15620,9789,Borussia Dortmund,DOR
15621,10189,FC Schalke 04,S04
15622,9904,Hannover 96,HAN
